symbol,channel,type,timestamp_received,timestamp_start,open,high,low,close,volume_base,volume_quote,price_change,price_change_pct,price_range,price_range_pct,candle_type,timeframe
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183828,2025-06-08 21:50:00,21.43,21.48,21.43,21.46,623.0863,13372.199197,0.030000000000001137,0.13999066728885273,0.05000000000000071,0.233317778814749,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183830,2025-06-08 21:55:00,21.46,21.48,21.38,21.38,2677.7743,57334.37296,-0.08000000000000185,-0.37278657968314,0.10000000000000142,0.4659832246039209,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183832,2025-06-08 22:00:00,21.38,21.43,21.27,21.32,2297.6587,49004.997849,-0.05999999999999872,-0.28063610851262266,0.16000000000000014,0.7483629560336771,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183834,2025-06-08 22:05:00,21.32,21.35,21.28,21.28,2729.9084,58226.058444,-0.03999999999999915,-0.1876172607879885,0.07000000000000028,0.3283302063789882,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183837,2025-06-08 22:10:00,21.28,21.29,21.23,21.25,1414.9446,30082.212659,-0.030000000000001137,-0.1409774436090279,0.05999999999999872,0.2819548872180391,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183839,2025-06-08 22:15:00,21.25,21.29,21.25,21.29,1117.6187,23766.855019,0.03999999999999915,0.18823529411764306,0.03999999999999915,0.18823529411764306,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183842,2025-06-08 22:20:00,21.29,21.32,21.28,21.31,578.4023,12318.214492,0.019999999999999574,0.09394081728510838,0.03999999999999915,0.18788163457021675,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183844,2025-06-08 22:25:00,21.31,21.31,21.17,21.2,941.953,19981.363524,-0.10999999999999943,-0.5161895823556989,0.13999999999999702,0.656968559361788,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183846,2025-06-08 22:30:00,21.2,21.22,21.15,21.18,800.0268,16941.712271,-0.019999999999999574,-0.09433962264150743,0.07000000000000028,0.3301886792452844,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183848,2025-06-08 22:35:00,21.18,21.18,21.11,21.14,1474.9041,31168.293356,-0.03999999999999915,-0.18885741265344264,0.07000000000000028,0.33050047214353295,bearish,5m
